task,framework,constraint,type,params,framework_version,utc,duration,training_duration,predict_duration,seed,accuracy,balanced_accuracy,mcc,log_loss,
Hearthstone-Spell-spellSchool,AutoGluon-multimodal-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Hearthstone/Spells/spellSchool/', 'exp_save_dir': 'exps/autogluon/Hearthstone-Spells-spellSchool-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-03T11:36:46,28897.5,27853.5,692.4,0,0.881889764,0.750219489,0.763692251,0.349835662,
Hearthstone-All-set,AutoGluon-multimodal-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Hearthstone/All/set/', 'exp_save_dir': 'exps/autogluon/Hearthstone-All-set-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-01T23:45:54,28878.3,28801,18.4,0,0.525265128,0.408809049,0.503596837,1.641190128,
Hearthstone-Minions-race,AutoGluon-multimodal-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Hearthstone/Minions/race/', 'exp_save_dir': 'exps/autogluon/Hearthstone-Minions-race-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-02T11:45:35,26315.8,25932.4,182.6,0,0.87944664,0.7773871,0.819968126,0.402505794,
Hearthstone-All-set,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Hearthstone/All/set/', 'exp_save_dir': 'exps/autogluon/Hearthstone-All-set-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-02T12:29:40,28898.2,28806.7,13.4,0,0.547723019,0.428295606,0.527067758,1.578223566,
Hearthstone-Minions-race,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Hearthstone/Minions/race/', 'exp_save_dir': 'exps/autogluon/Hearthstone-Minions-race-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-02T21:35:38,26834.1,26604.9,33.5,0,0.804347826,0.672898727,0.701909218,0.677953971,
CSGO-Skin-quality,AutoGluon-multimodal-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/CSGO/quality', 'exp_save_dir': 'exps/autogluon/CSGO-skin-quality-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-01T05:06:46,25807.5,22860.5,2147.4,0,0.765957447,0.566062383,0.663711635,0.630598496,
CSGO-Skin-quality,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/CSGO/quality', 'exp_save_dir': 'exps/autogluon/CSGO-skin-quality-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-31T20:01:06,11949.6,11479.7,56.5,0,0.687943262,0.437537947,0.553001517,0.725666988,
Hearthstone-Spell-spellSchool,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Hearthstone/Spells/spellSchool/', 'exp_save_dir': 'exps/autogluon/Hearthstone-Spells-spellSchool-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-02T22:03:12,28410.8,28077,41.7,0,0.850393701,0.651751242,0.699922336,0.447975723,
Hearthstone-All-cardClass,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Hearthstone/All/cardClass', 'exp_save_dir': 'exps/autogluon/Hearthstone-All-cardClass-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-01T09:03:20,27863.9,27676.2,32.7,0,0.779164067,0.654777403,0.694062285,0.710649458,
Hearthstone-All-cardClass,AutoGluon-multimodal-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Hearthstone/All/cardClass', 'exp_save_dir': 'exps/autogluon/Hearthstone-All-cardClass-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-11-01T23:22:26,27540.5,27209.4,195,0,0.786650031,0.668199261,0.705488406,0.654007286,
