task,framework,constraint,type,params,framework_version,utc,duration,training_duration,predict_duration,seed,accuracy,balanced_accuracy,mcc,log_loss
Hearthstone-Minions-health,AutoGluon-default-best_quality,1h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Minions/health', 'exp_save_dir': 'exps/Hearthstone-Minions-health-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 3600, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-16T16:41:31,3637.4,3599.8,5.7,0,0.6340996168582376,0.6219384912555126,0.5927641933854304,1.0797382081567553
Hearthstone-Spells-spellSchool,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Spells/spellSchool', 'exp_save_dir': 'exps/Hearthstone-Spells-spellSchool-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-17T03:10:56,28731.4,28397.3,40.2,0,0.8405511811023622,0.6543641286540953,0.6739644849606933,0.476204948103345
Pokemon-secondary_type,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Pokemon/type_2', 'exp_save_dir': 'exps/Pokemon-type_2-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-19T04:54:27,28339.3,27840.3,66.0,0,0.6240601503759399,0.2891543374565448,0.4608483502470376,1.4520945319891871
Hearthstone-Minions-race,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Minions/race', 'exp_save_dir': 'exps/Hearthstone-Minions-race-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-14T21:53:20,26522.8,26365.4,24.6,0,0.7925270403146509,0.6721632718649448,0.684233482778904,0.676744970047046
Pokemon-secondary_type,AutoGluon-multimodal-best_quality,1h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Pokemon/type_2', 'exp_save_dir': 'exps/Pokemon-type_2-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 3600, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-18T18:59:42,2906.1,2743.0,98.7,0,0.4962406015037593,0.0714285714285718,0.1848340381782121,1.6965666570161515
Hearthstone-Minions-attack,AutoGluon-multimodal-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Minions/attack', 'exp_save_dir': 'exps/Hearthstone-Minions-attack-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-16T07:35:45,27573.9,27046.4,303.2,0,0.5848513902205177,0.5526444959933635,0.5301095373505732,1.1810408061073805
Hearthstone-Minions-race,AutoGluon-multimodal-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Minions/race', 'exp_save_dir': 'exps/Hearthstone-Minions-race-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-14T21:23:21,24425.3,24125.8,153.2,0,0.8790560471976401,0.7688100937283509,0.8200856094663671,0.4061390546392265
Pokemon-primary_type,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Pokemon/type_1', 'exp_save_dir': 'exps/Pokemon-type_1-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-18T23:54:53,27213.1,26912.3,32.7,0,0.7518796992481203,0.6709901300587576,0.7318952780671917,1.033040355687919
Hearthstone-Minions-health,AutoGluon-multimodal-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Minions/health', 'exp_save_dir': 'exps/Hearthstone-Minions-health-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-16T23:33:21,28322.8,27840.1,252.5,0,0.5996168582375478,0.5872799708287713,0.5540811470656897,1.1522142113894724
Pokemon-primary_type,AutoGluon-multimodal-best_quality,1h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Pokemon/type_1', 'exp_save_dir': 'exps/Pokemon-type_1-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 3600, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-18T17:15:50,3224.8,3175.0,7.8,0,0.6992481203007519,0.6347395523866113,0.6755115420579624,1.1440307550566424
Hearthstone-Spells-spellSchool,AutoGluon-multimodal-best_quality,1h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Spells/spellSchool', 'exp_save_dir': 'exps/Hearthstone-Spells-spellSchool-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 3600, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-17T04:09:21,3078.2,3032.9,8.6,0,0.8326771653543307,0.6438831156109424,0.6586231883869378,0.4803343389557278
LOL-Skins-Category,AutoGluon-multimodal-best_quality,1h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/LeagueOfLegends/category', 'exp_save_dir': 'exps/LeagueOfLegends-skin-category-best-mm', 'do_load_ckpt': False, 'fit_hyperparameters': 'multimodal', 'fit_time_limit': 3600, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-17T15:08:48,3094.9,2934.9,84.9,0,0.9680851063829788,0.9815184815184816,0.9556354266487842,0.1555215117875784
Hearthstone-Minions-attack,AutoGluon-default-best_quality,1h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/Minions/attack', 'exp_save_dir': 'exps/Hearthstone-Minions-attack-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 3600, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-16T00:57:13,3639.4,3603.7,5.9,0,0.6366251198465963,0.6125065013478489,0.5891288186927574,1.1250116426610652
LOL-Skins-Category,AutoGluon-default-best_quality,8h72c-TITAN RTX,multiclass,"{'dataset_dir': 'datasets/LeagueOfLegends/category', 'exp_save_dir': 'exps/LeagueOfLegends-skin-category-best', 'do_load_ckpt': False, 'fit_hyperparameters': 'default', 'fit_time_limit': 28800, 'fit_presets': 'best_quality', 'seed': 0}",0.5.2,2022-10-17T22:09:25,28297.7,27719.1,75.3,0,0.9627659574468084,0.9782717282717284,0.9483115898373292,0.167536519076477
